time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-27 00:00:00+00:00,1,1,,
2025-09-01 00:00:00+00:00,1,1,,
2025-09-07 00:00:00+00:00,1,1,,
2025-09-08 00:00:00+00:00,6,6,3.0,1.0
