time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-30 00:00:00+00:00,319,122,,
2025-08-31 00:00:00+00:00,343,148,,
2025-09-01 00:00:00+00:00,713,228,,
2025-09-02 00:00:00+00:00,903,323,,
2025-09-03 00:00:00+00:00,687,273,,
2025-09-04 00:00:00+00:00,433,220,,
2025-09-05 00:00:00+00:00,331,140,1.0,1.0
2025-09-06 00:00:00+00:00,317,125,,
2025-09-07 00:00:00+00:00,355,129,,
2025-09-08 00:00:00+00:00,340,187,,
2025-09-09 00:00:00+00:00,558,248,6.0,1.0
2025-09-10 00:00:00+00:00,471,228,,
2025-09-11 00:00:00+00:00,349,179,,
2025-09-12 00:00:00+00:00,319,136,,
