time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-05 00:00:00+00:00,2,2,0,0
2026-03-06 00:00:00+00:00,0,0,0,0
2026-03-07 00:00:00+00:00,1,1,0,0
2026-03-08 00:00:00+00:00,4,4,0,0
2026-03-09 00:00:00+00:00,5,5,0,0
2026-03-10 00:00:00+00:00,1,1,0,0
2026-03-11 00:00:00+00:00,0,0,0,0
2026-03-12 00:00:00+00:00,3,3,7,1
2026-03-13 00:00:00+00:00,101,17,25,1
2026-03-14 00:00:00+00:00,134,46,37,1
2026-03-15 00:00:00+00:00,5,5,0,0
2026-03-16 00:00:00+00:00,1,1,0,0
2026-03-17 00:00:00+00:00,90,12,18,1
2026-03-18 00:00:00+00:00,130,33,27,1
