url_path,views_total,views_unique
/rgglez/go-storage,18,1
/rgglez/go-storage/actions,2,1
/rgglez/go-storage/actions/runs/23041132965,1,1
/rgglez/go-storage/actions/runs/23041132965/job/66919478374,1,1
/rgglez/go-storage/actions/runs/23041132993,1,1
/rgglez/go-storage/actions/runs/23041132993/job/66919478362,1,1
/rgglez/go-storage/actions/runs/23064655289,1,1
/rgglez/go-storage/actions/runs/23064655289/job/66999823789,1,1
/rgglez/go-storage/actions/runs/23067785336,1,1
/rgglez/go-storage/actions/runs/23067785336/job/67010346038,1,1
