time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-20 00:00:00+00:00,311,155,,
2025-10-21 00:00:00+00:00,295,149,,
2025-10-22 00:00:00+00:00,293,142,,
2025-10-23 00:00:00+00:00,294,128,,
2025-10-24 00:00:00+00:00,246,108,,
2025-10-25 00:00:00+00:00,195,88,,
2025-10-26 00:00:00+00:00,191,88,,
2025-10-27 00:00:00+00:00,197,101,,
2025-10-28 00:00:00+00:00,177,83,,
2025-10-29 00:00:00+00:00,177,92,,
2025-10-30 00:00:00+00:00,164,86,,
2025-10-31 00:00:00+00:00,239,107,,
2025-11-01 00:00:00+00:00,251,102,,
2025-11-02 00:00:00+00:00,229,100,,
