time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-05 00:00:00+00:00,331,140,1.0,1.0
2025-09-06 00:00:00+00:00,317,125,,
2025-09-07 00:00:00+00:00,355,129,,
2025-09-08 00:00:00+00:00,340,187,,
2025-09-09 00:00:00+00:00,558,248,6.0,1.0
2025-09-10 00:00:00+00:00,471,228,,
2025-09-11 00:00:00+00:00,349,179,,
2025-09-12 00:00:00+00:00,330,136,,
2025-09-13 00:00:00+00:00,296,135,,
2025-09-14 00:00:00+00:00,295,114,,
2025-09-15 00:00:00+00:00,277,143,,
2025-09-16 00:00:00+00:00,294,164,,
2025-09-17 00:00:00+00:00,256,148,,
2025-09-18 00:00:00+00:00,217,120,,
