time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-01 00:00:00+00:00,469,223,,
2025-10-02 00:00:00+00:00,473,201,,
2025-10-03 00:00:00+00:00,352,166,,
2025-10-04 00:00:00+00:00,322,142,,
2025-10-05 00:00:00+00:00,473,170,,
2025-10-06 00:00:00+00:00,475,218,,
2025-10-07 00:00:00+00:00,306,159,,
2025-10-08 00:00:00+00:00,286,157,,
2025-10-09 00:00:00+00:00,283,129,,
2025-10-10 00:00:00+00:00,250,116,,
2025-10-11 00:00:00+00:00,294,116,,
2025-10-12 00:00:00+00:00,294,123,,
2025-10-13 00:00:00+00:00,295,129,,
2025-10-14 00:00:00+00:00,208,102,,
