time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-07 00:00:00+00:00,1.0,1.0,,
2025-09-09 00:00:00+00:00,7.0,7.0,4.0,1.0
2025-09-13 00:00:00+00:00,1.0,1.0,,
2025-09-15 00:00:00+00:00,1.0,1.0,,
2025-09-16 00:00:00+00:00,,,2.0,1.0
2025-09-18 00:00:00+00:00,1.0,1.0,,
